full_name,initials,country,country_code,national_identity_card,certifications,certification_dates,photo
Bela Benedita Lacerda,BBL,Brazil,BR,353.487.401-64,AWS CCP,8/22/2024,ck-cloud-storage-bucket/Latina-certs/photos/353.487.401-64.jpg
Benedita Benedita Lourenço,BBL,Brazil,BR,786.801.128-05,AWS SAA; AWS CCP; AWS AI Practitioner,2024-01-24; 2023-10-28; 2024-07-27,ck-cloud-storage-bucket/Latina-certs/photos/786.801.128-05.jpg
Brenda Beatriz Lustosa,BBL,Brazil,BR,331.586.923-22,AWS CCP; AWS SAA,2024-08-21; 2024-11-10,ck-cloud-storage-bucket/Latina-certs/photos/331.586.923-22.jpg
Betina Benedita Lourenço,BBL,Brazil,BR,160.733.754-33,AWS SAA,3/31/2024,ck-cloud-storage-bucket/Latina-certs/photos/160.733.754-33.jpg
Bibiana Bernarda Lobo,BBL,Brazil,BR,145.868.501-42,AWS AI Practitioner; AWS CCP; AWS SAA,2025-05-18; 2024-12-03; 2024-09-03,ck-cloud-storage-bucket/Latina-certs/photos/145.868.501-42.jpg
Bárbara Branca Lacerda,BBL,Brazil,BR,816.934.060-88,AWS SAA; AWS CCP; AWS AI Practitioner,2024-11-30; 2023-11-26; 2025-07-27,ck-cloud-storage-bucket/Latina-certs/photos/816.934.060-88.jpg
Bárbara Brígida Lins,BBL,Brazil,BR,148.465.648-23,AWS SAA; AWS AI Practitioner,2025-08-09; 2024-03-12,ck-cloud-storage-bucket/Latina-certs/photos/148.465.648-23.jpg
Brígida Branca Leão,BBL,Brazil,BR,044.369.957-77,AWS CCP; AWS AI Practitioner; AWS SAA,2025-07-21; 2023-12-11; 2024-07-02,ck-cloud-storage-bucket/Latina-certs/photos/044.369.957-77.jpg
Bia Brígida Lins,BBL,Brazil,BR,134.332.003-79,AWS AI Practitioner,11/13/2024,ck-cloud-storage-bucket/Latina-certs/photos/134.332.003-79.jpg
Branca Branca Leite,BBL,Brazil,BR,632.016.328-70,AWS CCP; AWS SAA; AWS AI Practitioner,2024-01-30; 2025-01-03; 2025-07-30,ck-cloud-storage-bucket/Latina-certs/photos/632.016.328-70.jpg
Bia Bibiana Lacerda,BBL,Brazil,BR,579.868.727-74,AWS SAA,6/25/2024,ck-cloud-storage-bucket/Latina-certs/photos/579.868.727-74.jpg
Bia Betina Lacerda,BBL,Brazil,BR,471.434.558-12,AWS CCP,10/12/2024,ck-cloud-storage-bucket/Latina-certs/photos/471.434.558-12.jpg
Benedita Bianca Leal,BBL,Brazil,BR,665.876.036-69,AWS CCP; AWS AI Practitioner; AWS SAA,2023-09-22; 2024-09-10; 2024-07-17,ck-cloud-storage-bucket/Latina-certs/photos/665.876.036-69.jpg
Bibiana Branca Leão,BBL,Brazil,BR,893.734.670-65,AWS SAA; AWS AI Practitioner; AWS CCP,2025-01-06; 2024-01-24; 2025-06-14,ck-cloud-storage-bucket/Latina-certs/photos/893.734.670-65.jpg
Bea Beatriz Ladeira,BBL,Brazil,BR,990.162.720-46,AWS CCP; AWS AI Practitioner,2024-08-15; 2024-08-26,ck-cloud-storage-bucket/Latina-certs/photos/990.162.720-46.jpg
Bibiana Benedita Lemes,BBL,Brazil,BR,417.080.531-00,AWS CCP,10/6/2023,ck-cloud-storage-bucket/Latina-certs/photos/417.080.531-00.jpg
Benedita Bianca Loureiro,BBL,Brazil,BR,719.374.529-91,AWS AI Practitioner,1/4/2024,ck-cloud-storage-bucket/Latina-certs/photos/719.374.529-91.jpg
Bianca Benedita Leitão,BBL,Brazil,BR,663.193.149-19,AWS AI Practitioner,3/14/2025,ck-cloud-storage-bucket/Latina-certs/photos/663.193.149-19.jpg
Belinda Bernarda Leal,BBL,Brazil,BR,850.671.657-26,AWS SAA,3/3/2025,ck-cloud-storage-bucket/Latina-certs/photos/850.671.657-26.jpg
Bela Brígida Leão,BBL,Brazil,BR,776.945.314-73,AWS SAA; AWS AI Practitioner,2024-08-25; 2023-10-15,ck-cloud-storage-bucket/Latina-certs/photos/776.945.314-73.jpg
Bárbara Bernarda Lourenço,BBL,Brazil,BR,735.454.948-08,AWS CCP,5/20/2024,ck-cloud-storage-bucket/Latina-certs/photos/735.454.948-08.jpg
Belinda Betina Leão,BBL,Brazil,BR,377.701.436-34,AWS SAA; AWS AI Practitioner; AWS CCP,2025-04-04; 2025-03-12; 2024-09-02,ck-cloud-storage-bucket/Latina-certs/photos/377.701.436-34.jpg
Belinda Bibiana Lins,BBL,Brazil,BR,574.443.135-18,AWS CCP; AWS SAA; AWS AI Practitioner,2025-01-23; 2024-06-25; 2025-05-11,ck-cloud-storage-bucket/Latina-certs/photos/574.443.135-18.jpg
Bia Brígida Louzada,BBL,Brazil,BR,134.352.408-24,AWS CCP,4/4/2025,ck-cloud-storage-bucket/Latina-certs/photos/134.352.408-24.jpg
Brígida Bárbara Leite,BBL,Brazil,BR,109.477.752-04,AWS CCP; AWS SAA,2024-10-30; 2025-01-31,ck-cloud-storage-bucket/Latina-certs/photos/109.477.752-04.jpg
Beatriz Brígida Lopes,BBL,Brazil,BR,229.413.186-99,AWS CCP; AWS AI Practitioner; AWS SAA,2024-12-12; 2024-07-16; 2025-05-10,ck-cloud-storage-bucket/Latina-certs/photos/229.413.186-99.jpg
Belinda Benedita Leitão,BBL,Brazil,BR,909.133.412-32,AWS CCP; AWS SAA; AWS AI Practitioner,2024-11-07; 2024-12-20; 2025-08-21,ck-cloud-storage-bucket/Latina-certs/photos/909.133.412-32.jpg
Bárbara Benedita Lopes,BBL,Brazil,BR,344.713.493-61,AWS CCP; AWS SAA; AWS AI Practitioner,2024-02-08; 2023-11-28; 2023-11-16,ck-cloud-storage-bucket/Latina-certs/photos/344.713.493-61.jpg
Bernarda Benedita Lacerda,BBL,Brazil,BR,947.174.648-87,AWS CCP; AWS SAA,2024-12-01; 2024-08-11,ck-cloud-storage-bucket/Latina-certs/photos/947.174.648-87.jpg
Bela Beatriz Leal,BBL,Brazil,BR,399.049.027-87,AWS CCP; AWS AI Practitioner,2025-06-27; 2025-01-31,ck-cloud-storage-bucket/Latina-certs/photos/399.049.027-87.jpg
Beatriz Betina Lustosa,BBL,Brazil,BR,655.125.674-68,AWS AI Practitioner,12/15/2023,ck-cloud-storage-bucket/Latina-certs/photos/655.125.674-68.jpg
